mandataire2,mandataire,lease_rsf,annual_rent,state_category,type1,budget2014,budget2014,budget2013,budget2012,evol,rent_prsf,remaining_term_years
Ecoles et institutions pour l'enfance,Frais de perfectionnement professionnel et de stages,80000,"$26,195,462",Cohésion sociale et solidarité,2,80000,80000,80000,74030,"<font size=""4"" style=""color:#7797a3"">▲</font> + 8 %",3,2
Service culturel,Association Païdos,41200,"$2,500,366",Cohésion sociale et solidarité,2,41200,41200,41200,1400,"<font size=""4"" style=""color:#7797a3"">▲</font> + 2842,8 %",3,2
Grand Théâtre de Genève,9ème année du CO,40890,"$3,301,165",Cohésion sociale et solidarité,2,40890,40890,40890,40350,"<font size=""4"" style=""color:#7797a3"">▲</font> + 1,3 %",3,2
Service culturel,"Courses scolaires, aides aux parents",30000,"$7,653,247",Cohésion sociale et solidarité,2,30000,30000,30000,29000,"<font size=""4"" style=""color:#7797a3"">▲</font> + 3,4 %",3,2
Direction cohésion sociale et solidarité,Association Lire et Ecrire,25000,"$2,052,255",Cohésion sociale et solidarité,2,25000,25000,25000,"1659,5","<font size=""4"" style=""color:#7797a3"">▲</font> + 1406,4 %",3,2
Service des sports,Clubs d'aînés Ville et Fédération,22200,"$5,589,962",Cohésion sociale et solidarité,2,22200,22200,22200,14200,"<font size=""4"" style=""color:#7797a3"">▲</font> + 56,3 %",3,2
Direction cohésion sociale et solidarité,"Subvention p/promotions décentralisées, cortège",22000,"$3,516,176",Cohésion sociale et solidarité,2,22000,22000,22000,15784,"<font size=""4"" style=""color:#7797a3"">▲</font> + 39,3 %",3,2
Service des sports,Diverses activités enfance et écoles,20000,"$11,797,763",Cohésion sociale et solidarité,2,20000,20000,18000,18000,"<font size=""4"" style=""color:#7797a3"">▲</font> + 11,1 %",3,2
Direction cohésion sociale et solidarité,Association centre de consultation spécialisé dans le traitement des abus sexuels ,10300,"$1,880,918",Cohésion sociale et solidarité,2,10300,10300,10300,8650,"<font size=""4"" style=""color:#7797a3"">▲</font> + 19 %",3,2
Aménagement urbain et mobilité,CODAP,10000,"$26,262,914",Cohésion sociale et solidarité,2,10000,10000,5000,5000,"<font size=""4"" style=""color:#7797a3"">▲</font> + 100 %",3,2
Direction cohésion sociale et solidarité,Prestations municipales,10004000,"$2,550,691",Cohésion sociale et solidarité,2,10004000,10004000,10004000,10228425,"<font size=""4"" style=""color:#d7191c"">▼</font> -2,1 %",1,2
Promotion culturelle,Allocations sociales,380000,"$2,560,932",Cohésion sociale et solidarité,2,380000,380000,380000,"389508,95","<font size=""4"" style=""color:#d7191c"">▼</font> -2,4 %",1,1
Direction des constructions et de l'aménagement,Restaurants scolaires,380000,"$2,805,086",Cohésion sociale et solidarité,2,380000,380000,800000,"526402,5","<font size=""4"" style=""color:#d7191c"">▼</font> -27,8 %",1,2
Direction cohésion sociale et solidarité,"Colonies diverses, travaux aux colonies",230000,"$2,180,000",Cohésion sociale et solidarité,2,230000,230000,230000,232682,"<font size=""4"" style=""color:#d7191c"">▼</font> -1,1 %",1,2
Direction sociale,A.V.S. paiement des cotisations,125000,"$2,251,032",Cohésion sociale et solidarité,2,125000,125000,125000,"209525,8","<font size=""4"" style=""color:#d7191c"">▼</font> -40,3 %",1,2
Service des sports,Ciné transat,100000,"$2,392,847",Cohésion sociale et solidarité,2,100000,100000,100000,"101779,6","<font size=""4"" style=""color:#d7191c"">▼</font> -1,7 %",1,2
Service culturel,ALCIP - Lutte injustice sociale précarité,30000,"$2,629,404",Cohésion sociale et solidarité,2,30000,30000,30000,30300,"<font size=""4"" style=""color:#d7191c"">▼</font> -0,9 %",1,2
Service culturel,"Astural, service éducatif itinérant",18000,"$2,083,476",Cohésion sociale et solidarité,2,18000,18000,40000,21500,"<font size=""4"" style=""color:#d7191c"">▼</font> -16,2 %",1,2
Administration centrale,Société Coopérative Armée du Salut Oeuvre Sociale - Accueil de Nuit,555000,"$2,771,505",Cohésion sociale et solidarité,2,555000,555000,555000,555000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
