mandataire2,mandataire,lease_rsf,annual_rent,state_category,type1,budget2014,budget2014,budget2013,budget2012,evol,rent_prsf,remaining_term_years
Service des sports,Fonds soutien aux échanges et tournées,440000,"$3,552,156",Culture et sport,4,440000,440000,440000,"433357,25","<font size=""4"" style=""color:#7797a3"">▲</font> + 1,5 %",3,2
Service des sports,Soutien aux clubs de football,278500,"$2,055,695",Culture et sport,4,278500,278500,278500,215600,"<font size=""4"" style=""color:#7797a3"">▲</font> + 29,1 %",3,2
Art contemporain,Activités culturelles et scientifiques,276000,"$3,095,739",Culture et sport,4,276000,276000,276000,271697,"<font size=""4"" style=""color:#7797a3"">▲</font> + 1,5 %",3,2
Service des sports,Soutien aux clubs de basket,230700,"$2,216,043",Culture et sport,4,230700,230700,220700,220700,"<font size=""4"" style=""color:#7797a3"">▲</font> + 4,5 %",3,3
Service culturel,Soutien de clubs de volleyball,124300,"$1,511,513",Culture et sport,4,124300,124300,99300,105500,"<font size=""4"" style=""color:#7797a3"">▲</font> + 17,8 %",3,3
Direction sociale,Alhambra - Maison de la musique,110000,"$3,388,799",Culture et sport,4,110000,110000,110000,108938,"<font size=""4"" style=""color:#7797a3"">▲</font> + 0,9 %",3,3
Service des sports,Soutien aux clubs de Natation,102100,"$1,099,777",Culture et sport,4,102100,102100,102100,82400,"<font size=""4"" style=""color:#7797a3"">▲</font> + 23,9 %",3,2
Direction de la culture et du sport,Soutien aux clubs de Voile,86000,"$6,187,737",Culture et sport,4,86000,86000,86000,85900,"<font size=""4"" style=""color:#7797a3"">▲</font> + 0,1 %",3,2
Service culturel,Fonds général musique,80000,"$2,024,401",Culture et sport,4,80000,80000,108000,"70624,6","<font size=""4"" style=""color:#7797a3"">▲</font> + 13,2 %",3,1
Direction cohésion sociale et solidarité,Association genevoise d'athlétisme,61900,"$2,212,194",Culture et sport,4,61900,61900,61900,30950,"<font size=""4"" style=""color:#7797a3"">▲</font> + 100 %",3,2
Délégation Généve Solidaire,Soutien aux clubs d'Atlhétisme,52000,"$2,389,044",Culture et sport,4,52000,52000,22000,1400,"<font size=""4"" style=""color:#7797a3"">▲</font> + 3614,2 %",3,3
Fonds chômage,Accès à la culture  (mass media),50000,"$4,922,240",Culture et sport,4,50000,50000,50000,42053,"<font size=""4"" style=""color:#7797a3"">▲</font> + 18,8 %",3,2
Art contemporain,Fonds bourses Patiño-Ville de Genève,36000,"$4,608,710",Culture et sport,4,36000,36000,36000,34000,"<font size=""4"" style=""color:#7797a3"">▲</font> + 5,8 %",3,2
Service des sports,Soutien aux clubs de Multisports,34100,"$2,097,276",Culture et sport,4,34100,34100,22300,24300,"<font size=""4"" style=""color:#7797a3"">▲</font> + 40,3 %",3,3
Service de la jeunesse,Cappella Genevensis,30000,"$2,482,971",Culture et sport,4,30000,30000,15300,20300,"<font size=""4"" style=""color:#7797a3"">▲</font> + 47,7 %",3,2
Service culturel,Fonds général théâtre,1500000,"$1,285,114",Culture et sport,4,1500000,1500000,1500000,1898250,"<font size=""4"" style=""color:#d7191c"">▼</font> -20,9 %",1,2
Délégation Généve Solidaire,Fonds général danse,1050000,"$2,372,387",Culture et sport,4,1050000,1050000,1050000,1286900,"<font size=""4"" style=""color:#d7191c"">▼</font> -18,4 %",1,2
Délégation Généve Solidaire,La Bâtie - Festival de Genève,927800,"$1,114,234",Culture et sport,4,927800,927800,927800,1127800,"<font size=""4"" style=""color:#d7191c"">▼</font> -17,7 %",1,2
Service des sports,Fonds général cinéma,902900,"$349,260",Culture et sport,4,902900,902900,902900,1017900,"<font size=""4"" style=""color:#d7191c"">▼</font> -11,2 %",1,2
Service des sports,Fonds actions culturelles et médiation,270000,"$2,015,809",Culture et sport,4,270000,270000,260000,277750,"<font size=""4"" style=""color:#d7191c"">▼</font> -2,7 %",1,3
Service culturel,Fonds autres salles,220000,"$1,069,240",Culture et sport,4,220000,220000,220000,222000,"<font size=""4"" style=""color:#d7191c"">▼</font> -0,9 %",1,2
Direction de la culture et du sport,Cave 12,120000,"$2,775,614",Culture et sport,4,120000,120000,149500,149250,"<font size=""4"" style=""color:#d7191c"">▼</font> -19,5 %",1,2
Service culturel,Compagnie 1602 – locaux ,100000,"$5,448,255",Culture et sport,4,100000,100000,100000,292000,"<font size=""4"" style=""color:#d7191c"">▼</font> -65,7 %",1,2
Service culturel,Association genevoise de volleyball,94900,"$2,174,354",Culture et sport,4,94900,94900,119900,119900,"<font size=""4"" style=""color:#d7191c"">▼</font> -20,8 %",1,1
Service de la jeunesse,Accès à la culture (autres tâches culturelles),80000,"$2,820,888",Culture et sport,4,80000,80000,160000,80250,"<font size=""4"" style=""color:#d7191c"">▼</font> -0,3 %",1,2
Service culturel,"Accès à la culture (théâtres, concerts)",80000,"$6,437,813",Culture et sport,4,80000,80000,230000,"143614,55","<font size=""4"" style=""color:#d7191c"">▼</font> -44,2 %",1,1
Service culturel,Projet Jeux de Genève,37500,"$2,633,519",Culture et sport,4,37500,37500,0,120000,"<font size=""4"" style=""color:#d7191c"">▼</font> -68,7 %",1,3
Service culturel,Bureau culturel,30000,"$2,894,114",Culture et sport,4,30000,30000,30000,33290,"<font size=""4"" style=""color:#d7191c"">▼</font> -9,8 %",1,2
Service culturel,Accès à la culture (autres tâches culturelles),20000,"$8,376,943",Culture et sport,4,20000,20000,20000,"635430,25","<font size=""4"" style=""color:#d7191c"">▼</font> -96,8 %",1,2
Direction de la culture et du sport,Soutien aux clubs de Rugby,18200,"$1,493,784",Culture et sport,4,18200,18200,18200,28500,"<font size=""4"" style=""color:#d7191c"">▼</font> -36,1 %",1,2
Service culturel,Soutien aux clubs de Canoë-Kayak,1400,"$4,124,179",Culture et sport,4,1400,1400,1400,41200,"<font size=""4"" style=""color:#d7191c"">▼</font> -96,6 %",1,2
Direction cohésion sociale et solidarité,Orchestre de la Suisse Romande,9500000,"$3,022,343",Culture et sport,4,9500000,9500000,9500000,9500000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,"FAD (Etat major - La Comédie, Le Poche)",5547478,"$2,380,442",Culture et sport,4,5547478,5547478,5547478,5547478,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Fondation Romande pour le cinéma,2500000,"$1,609,839",Culture et sport,4,2500000,2500000,2500000,2500000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Grand-Théâtre - Contrepartie de la contribution du fonds intercommunal,2500000,"$5,250,684",Culture et sport,4,2500000,2500000,2500000,2500000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Théâtre du Grütli,1811500,"$1,302,646",Culture et sport,4,1811500,1811500,1811500,1811500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Centre d'Art contemporain,1309800,"$2,910,508",Culture et sport,4,1309800,1309800,1309800,1309800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Fondamco (Mamco),1100000,"$2,382,274",Culture et sport,4,1100000,1100000,1100000,1100000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Art contemporain,Théâtre Am Stram Gram,1080000,"$3,068,002",Culture et sport,4,1080000,1080000,1080000,1080000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
La Ville est à vous,Association pour l'encouragement de la musique improvisée (AMR),814400,"$3,510,818",Culture et sport,4,814400,814400,814400,814400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association pour la danse contemporaine,773200,"$2,105,562",Culture et sport,4,773200,773200,773200,773200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Contrechamps,752600,"$2,151,288",Culture et sport,4,752600,752600,752600,752600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Théâtre des Marionnettes de Genève,710000,"$2,277,525",Culture et sport,4,710000,710000,710000,710000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Bibliothèque de Genève,L'Orchestre de chambre de Genève,701000,"$1,775,350",Culture et sport,4,701000,701000,701000,701000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Ateliers d'ethnomusicologie,552600,"$2,038,667",Culture et sport,4,552600,552600,552600,552600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Théâtre de l'Orangerie,500000,"$2,439,553",Culture et sport,4,500000,500000,500000,500000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Dir. environnement urbain et sécurité,"Musique en été (Scène Ella Fitzgerald, Jazz-Estival)",423700,"$10,699,752",Culture et sport,4,423700,423700,423700,423700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Promotion culturelle,Concours de musique,375000,"$8,150,947",Culture et sport,4,375000,375000,375000,375000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Revue genevoise,335100,"$3,203,943",Culture et sport,4,335100,335100,335100,335100,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Post Tenebras Rock,325000,"$503,601",Culture et sport,4,325000,325000,325000,325000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Art lyrique et vocal,317000,"$11,730,818",Culture et sport,4,317000,317000,317000,317000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Fonds intermittents du spectacle domiciliés à Genève,300000,"$2,592,240",Culture et sport,4,300000,300000,300000,300000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Fonds-aide à la formation des jeunes,300000,"$4,780,768",Culture et sport,4,300000,300000,300000,300000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction de la culture et du sport,Théâtre Pitoëff,300000,"$2,740,403",Culture et sport,4,300000,300000,300000,300000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Chorales classiques,288700,"$4,252,722",Culture et sport,4,288700,288700,288700,288700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Génie civil,Centre de la photographie,270600,"$1,380,027",Culture et sport,4,270600,270600,270600,270600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Fonction cinéma,267700,"$3,022,243",Culture et sport,4,267700,267700,267700,267700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Fondation pour l'art moderne et contemporain ,257700,"$1,877,801",Culture et sport,4,257700,257700,257700,257700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Délégation Généve Solidaire,Théâtre de l'Usine,220000,"$2,184,462",Culture et sport,4,220000,220000,220000,220000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Délégation Généve Solidaire,Fanfareduloup Orchestra,200000,"$1,575,651",Culture et sport,4,200000,200000,200000,200000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction sociale,Théâtre du Galpon,200000,"$1,358,524",Culture et sport,4,200000,200000,200000,200000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Grand Théâtre de Genève,ACTART,192800,"$4,282,850",Culture et sport,4,192800,192800,192800,192800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association genevoise de gymnastique,176300,"$1,737,274",Culture et sport,4,176300,176300,176300,176300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Fondation pour l'écrit (Salon du livre),155000,"$9,756,987",Culture et sport,4,155000,155000,155000,155000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Association cantonale genevoise de football,154600,"$2,135,184",Culture et sport,4,154600,154600,154600,154600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Dir. environnement urbain et sécurité,Musique ancienne,154600,"$3,082,979",Culture et sport,4,154600,154600,154600,154600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Centre d'édition contemporaine,150000,"$3,050,980",Culture et sport,4,150000,150000,150000,150000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Conseil administratif,Association genevoise de handball,146500,"$2,336,907",Culture et sport,4,146500,146500,146500,146500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction sociale,Association de Soutien à la Musique Vivante - Festival Voix de Fête,144300,"$1,619,518",Culture et sport,4,144300,144300,144300,144300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Eklekto,140000,"$2,356,954",Culture et sport,4,140000,140000,140000,140000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service de la petite enfance,La Parfumerie,140000,"$2,685,397",Culture et sport,4,140000,140000,140000,140000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Cinémas du Grütli,138700,"$4,730,016",Culture et sport,4,138700,138700,138700,138700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association genevoise de natation,135700,"$1,242,958",Culture et sport,4,135700,135700,135700,135700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service de la petite enfance,Association cantonale genevoise de basketball amateur,123700,"$10,638,054",Culture et sport,4,123700,123700,123700,123700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association cantonale genevoise des clubs de ski,123700,"$790,249",Culture et sport,4,123700,123700,123700,123700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Délégation Généve Solidaire,Cinéma Spoutnik,120000,"$2,074,171",Culture et sport,4,120000,120000,120000,120000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Genève Servette Hockey Club Association,120000,"$2,409,559",Culture et sport,4,120000,120000,120000,120000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,1
Service culturel,Association pour le patrimoine industriel,103100,"$3,255,463",Culture et sport,4,103100,103100,103100,103100,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Musique municipale de la Ville de Genève,103100,"$2,153,827",Culture et sport,4,103100,103100,103100,103100,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Salle Ernest-Ansermet,100000,"$19,939,458",Culture et sport,4,100000,100000,100000,100000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Ecoles et institutions pour l'enfance,Soutien aux manifestations,100000,"$6,041,070",Culture et sport,4,100000,100000,100000,100000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Art contemporain,Association l'Usine,95900,"$1,964,095",Culture et sport,4,95900,95900,95900,95900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Fonds bourses pour jeunes artistes,83000,"$1,191,525",Culture et sport,4,83000,83000,83000,83000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Course au Large à la Voile - Centre d'entraînement à la Régate,82500,"$6,798,601",Culture et sport,4,82500,82500,82500,82500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Course de l'Escalade - Stade Genève,82500,"$2,254,276",Culture et sport,4,82500,82500,82500,82500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Harmonie nautique,82500,"$2,186,997",Culture et sport,4,82500,82500,82500,82500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Fonds général livre et édition,72500,"$1,601,379",Culture et sport,4,72500,72500,50000,72500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,3
Aménagement urbain et mobilité,Association genevoise de badminton,72200,"$4,381,201",Culture et sport,4,72200,72200,72200,72200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Art contemporain,Galerie Forde,72200,"$2,427,310",Culture et sport,4,72200,72200,72200,72200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association cantonale genevoise de judo,70000,"$1,127,447",Culture et sport,4,70000,70000,70000,70000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association Centre d'Entraînement à la Régate,68000,"$632,100",Culture et sport,4,68000,68000,68000,68000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Conseil municipal,Soutien aux clubs de Gymnastique,66500,"$1,721,508",Culture et sport,4,66500,66500,66500,66500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Soutien aux clubs d'échecs,61800,"$1,698,998",Culture et sport,4,61800,61800,61800,61800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,"Genève Rink-Hockey Club, Hockey sur roulettes",59800,"$1,709,123",Culture et sport,4,59800,59800,59800,59800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association genevoise de hockey sur gazon,57600,"$2,213,671",Culture et sport,4,57600,57600,57600,57600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Promotion culturelle,Soutien aux clubs de ski,56300,"$945,226",Culture et sport,4,56300,56300,56300,56300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Soutien aux clubs de Tennis,56100,"$2,543,316",Culture et sport,4,56100,56100,56100,56100,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Comptes Ville de Genève - Propriétaire,Association cantonale genevoise de rugby,51500,"$2,604,030",Culture et sport,4,51500,51500,51500,51500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Cadets de Genève,51500,"$9,698,691",Culture et sport,4,51500,51500,51500,51500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service de la jeunesse,Ecoles de musique,51500,"$1,226,077",Culture et sport,4,51500,51500,51500,51500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Ensemble vocal Séquence,51500,"$1,930,931",Culture et sport,4,51500,51500,51500,51500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,GE Grave,51500,"$878,934",Culture et sport,4,51500,51500,51500,51500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Génie civil,Ondine genevoise,51500,"$2,107,242",Culture et sport,4,51500,51500,51500,51500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,"Publication, résidence & atelier",50000,"$2,195,653",Culture et sport,4,50000,50000,50000,50000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Société Jean-Jacques Rousseau,50000,"$1,864,678",Culture et sport,4,50000,50000,50000,50000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Soutien aux clubs de Motocyclisme,47800,"$3,972,315",Culture et sport,4,47800,47800,47800,47800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Union Vélocipédique Genevoise,47100,"$1,232,055",Culture et sport,4,47100,47100,47100,47100,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Orchestres amateurs et symphoniques,46400,"$1,450,427",Culture et sport,4,46400,46400,46400,46400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Aménagement urbain et mobilité,Association genevoise de tennis de table,43900,"$1,155,683",Culture et sport,4,43900,43900,43900,43900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Soutien aux clubs de Cyclisme,43300,"$1,705,908",Culture et sport,4,43300,43300,43300,43300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Canoë Club de Genève,41200,"$2,376,653",Culture et sport,4,41200,41200,41200,41200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Conseil administratif,Urania Genève Sport Football juniors,41200,"$4,929,270",Culture et sport,4,41200,41200,41200,41200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Union Genevoise des Musiques et Chorales - Matériel et uniforme,40000,"$1,854,519",Culture et sport,4,40000,40000,40000,40000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Centre formation juniors ARGT,39800,"$2,292,013",Culture et sport,4,39800,39800,39800,39800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Fonds-jeunes talents ,35000,"$1,919,692",Culture et sport,4,35000,35000,35000,35000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Fonds-soutien sports des aînés,35000,"$1,409,513",Culture et sport,4,35000,35000,35000,35000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service de la jeunesse,Tchoukball Club de Genève,30900,"$2,480,165",Culture et sport,4,30900,30900,30900,30900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Tournoi de Beachvolley - Association Genevoise de Volleyball,30900,"$2,536,800",Culture et sport,4,30900,30900,30900,30900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Triathlon International de Genève,30900,"$3,922,531",Culture et sport,4,30900,30900,30900,30900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Fonds bourses pour jeunes artistes ,30000,"$3,048,415",Culture et sport,4,30000,30000,30000,30000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Espaces verts et environnement,Fonds soutien aux échanges et tournées,30000,"$1,784,895",Culture et sport,4,30000,30000,30000,30000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction de la culture et du sport,Soutien aux clubs de Sport Handicap,30000,"$2,792,924",Culture et sport,4,30000,30000,30000,30000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,3
Direction cohésion sociale et solidarité,Mémorial Georges Caillat (Athlética 2003) - Centre Athlétique de Genève,28900,"$1,203,055",Culture et sport,4,28900,28900,28900,28900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Ecoles et institutions pour l'enfance,Geneva Seahawks,26200,"$2,609,685",Culture et sport,4,26200,26200,26200,26200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Andata Ritorno,23700,"$1,962,469",Culture et sport,4,23700,23700,23700,23700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Association genevoise de ski nautique,20900,"$1,161,759",Culture et sport,4,20900,20900,20900,20900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association Genève Escalade,20600,"$5,870,015",Culture et sport,4,20600,20600,20600,20600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Bicross Club de Genève,20600,"$2,590,290",Culture et sport,4,20600,20600,20600,20600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Clique de fifres et tambours du Conservatoire Populaire de Musique (CPM),20600,"$1,280,927",Culture et sport,4,20600,20600,20600,20600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Communauté israélite de Genève (Bibliothèque),20600,"$2,430,282",Culture et sport,4,20600,20600,20600,20600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Fédération genevoise des clubs de voile,20600,"$3,038,923",Culture et sport,4,20600,20600,20600,20600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Piano Nobile,20600,"$2,351,951",Culture et sport,4,20600,20600,20600,20600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Musée Ariana,Soutien aux clubs d'Alpinisme,20600,"$2,450,243",Culture et sport,4,20600,20600,20600,20600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Unihockey Club Genève - centre de formation juniors,20600,"$1,797,514",Culture et sport,4,20600,20600,20600,20600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Diverses sociétés scientifiques genevoises,19880,"$2,656,086",Culture et sport,4,19880,19880,20600,19880,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,1
Art contemporain,Curling Club de Genève,16700,"$3,572,248",Culture et sport,4,16700,16700,16700,16700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Union accordéoniste Mixte,16500,"$2,253,885",Culture et sport,4,16500,16500,16500,16500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Délégation Généve Solidaire,Fanfare de la Croix-Bleue,15500,"$12,679,928",Culture et sport,4,15500,15500,15500,15500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Espaces verts et environnement,Fanfare municipale du Petit-Saconnex,15500,"$10,171,506",Culture et sport,4,15500,15500,15500,15500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Harmonie des Eaux-Vives,15500,"$6,960,574",Culture et sport,4,15500,15500,15500,15500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction de la culture et du sport,Soutien aux clubs de Rink-Hockey,15500,"$7,902,640",Culture et sport,4,15500,15500,15500,15500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Conseil administratif,L'Empro,14400,"$2,366,124",Culture et sport,4,14400,14400,14400,14400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Délégation Généve Solidaire,Soutien aux clubs de Handball,14400,"$7,555,990",Culture et sport,4,14400,14400,14400,14400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Art contemporain,Tournoi des Jeunes - Association Genevoise de Volleyball,13400,"$1,579,286",Culture et sport,4,13400,13400,13400,13400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Cycle de lecture - C. Thébert,12400,"$1,758,968",Culture et sport,4,12400,12400,12400,12400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service de la jeunesse,Soutien aux clubs de Tennis de table,11900,"$2,565,539",Culture et sport,4,11900,11900,11900,11900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Ecoles et institutions pour l'enfance,Cercle choral,10300,"$2,639,003",Culture et sport,4,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Promotion culturelle,Hivernal pétanque la Genevoise,10300,"$1,663,724",Culture et sport,4,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Muséum d'histoire naturelle,Société d'Escrime de Genève - centre de formation juniors,10300,"$1,931,840",Culture et sport,4,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Délégation Généve Solidaire,Société des écrivains genevois,10300,"$2,764,093",Culture et sport,4,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Soutien aux clubs de Badminton,10300,"$4,760,430",Culture et sport,4,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Soutien aux clubs de Hockey sur gazon,10300,"$21,628,862",Culture et sport,4,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Soutien aux clubs de Patinage,10300,"$1,608,250",Culture et sport,4,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Aménagement urbain et mobilité,Stargazer,10300,"$2,350,049",Culture et sport,4,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Ecoles et institutions pour l'enfance,Soutien aux sports urbains,10000,"$385,615",Culture et sport,4,10000,10000,10000,10000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,3
